COUNTY.COD,SAMPLING.E,OBSERVATIO,LOCALITY.I,LOCALITY,LATITUDE,LONGITUDE,Curlew_Sandpiper,Black.tailed_Gowdit ,Red.necked_Stint,Eurasian_Curlew,Bar.tailed_Gowdit,Great_Knot,Asian_Dowitcher,Malaysian_Plover,Great_Thick_Knee,Gray.tailed_Tattler,Nordmann.s_Greenshank,Far_Easter_Curlew,Spoon.billed_Sandpiper,Red_Knot,Beach_Thick_Knee,Eurasian_Oystercatcher,Total,TH_Total
IN-AP-EG,S80054654,1/7/2021,L10492485,Wetland opposite Coromandel fertilizers,16.9956434,82.2679424,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,80
IN-AP-EG,S51916713,1/21/2019,L8472059,Hope Island,16.9644207,82.3578542,48,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,769,114
IN-AP-EG,S63297421,1/12/2020,L10474926,"Wharf Road, Kakinada, Andhra Pradesh, IN (16.943, 82.233) Jagannadha Puram Bridge.",16.9434861,82.2331029,0,0,0,0,200,425,0,0,0,0,0,0,0,0,0,0,731,625
IN-AP-EG,S83431559,3/14/2021,L10492485,Wetland opposite Coromandel fertilizers,16.9956434,82.2679424,14,600,0,31,0,0,0,0,0,0,0,0,0,0,0,0,691,645
IN-AP-EG,S50634360,12/13/2018,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,50,0,2,0,20,0,0,0,0,0,0,0,0,0,0,636,72
IN-AP-EG,S42335765,12/22/2017,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,1,0,16,0,560,0,0,0,0,0,0,0,0,0,0,604,577
IN-AP-EG,S63998573,2/1/2020,L10660206,"Chollangi Saltpans, Kakinada, Andhra Pradesh, IN (16.91, 82.237)",16.9098677,82.2366109,30,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,590,35
IN-AP-EG,S78305284,12/31/2020,L10262128,"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",16.5951361,82.2655871,20,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,571,35
IN-AP-EG,S50633712,12/13/2018,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,514,22
IN-AP-EG,S65816830,3/15/2020,L10963873,"IN (17, 82.287) Kakinada Beach",17.0003875,82.2865072,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,501,1
IN-AP-EG,S51990127,1/22/2019,L8485899,Chinnavalasala,16.7664001,82.2363034,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,13
IN-AP-EG,S51864617,1/20/2019,L8462974,Sacramento Island,16.584824,82.3099584,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,439,11
IN-AP-EG,S32887901,12/3/2016,L5128204,Port Area,16.9550288,82.2684252,1,3,0,5,0,30,0,0,0,0,0,0,0,0,0,0,444,39
IN-AP-EG,S63347383,1/12/2020,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,412,7
IN-AP-EG,S80891559,1/7/2021,L13225058,Creek near Coromandel,16.9963278,82.2796633,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,403,3
IN-AP-EG,S32888382,12/4/2016,L5128204,Port Area,16.9550288,82.2684252,2,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,373,35
IN-AP-EG,S51988757,1/22/2019,L6786879,Coromandel International Ltd,16.9875625,82.2721875,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4295,22
