"COMMON.NAME","Bhatikhana wetlands JG","Joka Wetlands","Rabindra Sarovar (including Lion's Safari Park)","Alitakhali","Piyali Island Tourist Lodge","Farakka IBA Panchanandapur (count 1)","Jagannathpur Wetland 1","Jagannathpur Wetland 2","Ash Pond of Farakka Thermal Power Project","Rampara","Ahiron Wetland","Diara","Naya Bundh Wetland Complex (IBA)","Gajoldoba Barrage JG","Rajarhat Wetlands I","Sagardighi Ash Pond","Baruipur Marshes","Binod Dighi","Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","Saheb Bandh","Ballavpur WLS Jheel 2","Ballavpur WLS Jheel 3","Ballavpur WLS Jheel 1","Tajpur (count 1)","Tajpur (count 2)","Jaypur","Bakreshwar Dam (count 1)","Nalban Bheri","Nabagram (count 1)","Nabagram (count 2)","Santragachi Jheel (Lake)","Bortibeel (count 1)","Bortibeel (count 2)","Bakreshwar Dam (count 2)","Kharibari","Purbasthali Bird Sanctuary PUB","Shyamkhola Birding Place","Bara Sagardighi Fish Farm","10 no spar teesta riverbed","Karjjana Wetland 1","Karjjana Wetland 2","Bosipota","Farakka IBA Panchanandapur (count 2)","Sundoriya Bill","Sahaspur","Kamalpur","Fulbari Grassland"
"Rose-ringed Parakeet","0","1","X","0","0","0","0","0","0","0","0","3","0","0","2","0","2","0","0","0","0","0","0","13","0","0","0","9","0","3","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0"
"Rufous Treepie","0","2","X","0","0","0","0","0","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","1","0","0","0"
"Scaly-breasted Munia","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shikra","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Taiga Flycatcher","0","1","4","0","0","0","0","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","5","0","0","1","2","0","0","0","0","0","0","0","0","0"
"Thick-billed Warbler","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yellow-bellied Prinia","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Black-crowned Night-Heron","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"Black-hooded Oriole","0","0","X","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","2","2","0","1","0","0","1","0","0","0","0","0","0","0"
"Black-naped Oriole","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
