Common Name,Scientific Name,Source,SoIB Concern Status,IUCN Red List,WLPA Schedule
Common Tailorbird,Orthotomus sutorius,eBird,Low,Least Concern,Schedule-IV
Dark-necked Tailorbird,Orthotomus atrogularis,eBird,NA,Least Concern,Schedule-IV
Striated Prinia,Prinia crinigera,eBird,Low,Least Concern,Schedule-IV
Black-throated Prinia,Prinia atrogularis,eBird,Moderate,Least Concern,Schedule-IV
Rufescent Prinia,Prinia rufescens,eBird,NA,Least Concern,Schedule-IV
Gray-breasted Prinia,Prinia hodgsonii,eBird,Low,Least Concern,Schedule-IV
Graceful Prinia,Prinia gracilis,eBird,Low,Least Concern,Schedule-IV
Yellow-bellied Prinia,Prinia flaviventris,eBird,Low,Least Concern,Schedule-IV
Ashy Prinia,Prinia socialis,eBird,Low,Least Concern,Schedule-IV
Plain Prinia,Prinia inornata,eBird,Low,Least Concern,Schedule-IV
Zitting Cisticola,Cisticola juncidis,eBird,Low,Least Concern,Schedule-IV
Golden-headed Cisticola,Cisticola exilis,eBird,Moderate,Least Concern,Schedule-IV
Thick-billed Warbler,Arundinax aedon,eBird,Low,Least Concern,Schedule-IV
Paddyfield Warbler,Acrocephalus agricola,eBird,Low,Least Concern,Schedule-IV
Blunt-winged Warbler,Acrocephalus concinens,eBird,NA,Least Concern,Schedule-IV
Blyth's Reed Warbler,Acrocephalus dumetorum,eBird,Low,Least Concern,Schedule-IV
Clamorous Reed Warbler,Acrocephalus stentoreus,eBird,Low,Least Concern,Schedule-IV
Striated Grassbird,Megalurus palustris,eBird,Low,Least Concern,Schedule-IV
Pallas's Grasshopper-Warbler,Locustella certhiola,eBird,NA,Least Concern,Schedule-IV
Baikal Bush Warbler,Locustella davidi,eBird,NA,Least Concern,Schedule-IV
Spotted Bush Warbler,Locustella thoracica,eBird,Moderate,Least Concern,Schedule-IV
Scaly-breasted Cupwing,Pnoepyga albiventer,eBird,Low,Least Concern,Schedule-IV
Pygmy Cupwing,Pnoepyga pusilla,eBird,Low,Least Concern,Schedule-IV
Gray-throated Martin,Riparia chinensis,eBird,Low,Least Concern,Schedule-IV
Bank Swallow,Riparia riparia,eBird,NA,Least Concern,Schedule-IV
Barn Swallow,Hirundo rustica,eBird,Low,Least Concern,Schedule-IV
Red-rumped Swallow,Cecropis daurica,eBird,Low,Least Concern,Schedule-IV
Striated Swallow,Cecropis striolata,eBird,NA,Least Concern,Schedule-IV
Asian House-Martin,Delichon dasypus,eBird,NA,Least Concern,Schedule-IV
Nepal House-Martin,Delichon nipalense,eBird,Moderate,Least Concern,Schedule-IV
Black-crested Bulbul,Rubigula flaviventris,eBird,Low,Least Concern,Schedule-IV
Striated Bulbul,Pycnonotus striatus,eBird,Low,Least Concern,Schedule-IV
Red-vented Bulbul,Pycnonotus cafer,eBird,Low,Least Concern,Schedule-IV
Red-whiskered Bulbul,Pycnonotus jocosus,eBird,Low,Least Concern,Schedule-IV
White-throated Bulbul,Alophoixus flaveolus,eBird,Low,Least Concern,Schedule-IV
Black Bulbul,Hypsipetes leucocephalus,eBird,Low,Least Concern,Schedule-IV
Ashy Bulbul,Hemixos flavala,eBird,Low,Least Concern,Schedule-IV
Mountain Bulbul,Ixos mcclellandii,eBird,Low,Least Concern,Schedule-IV
Ashy-throated Warbler,Phylloscopus maculipennis,eBird,Low,Least Concern,Schedule-IV
Buff-barred Warbler,Phylloscopus pulcher,eBird,Low,Least Concern,Schedule-IV
Yellow-browed Warbler,Phylloscopus inornatus,eBird,Moderate,Least Concern,Schedule-IV
Lemon-rumped Warbler,Phylloscopus chloronotus,eBird,Moderate,Least Concern,Schedule-IV
Tickell's Leaf Warbler,Phylloscopus affinis,eBird,Low,Least Concern,Schedule-IV
Dusky Warbler,Phylloscopus fuscatus,eBird,Low,Least Concern,Schedule-IV
Smoky Warbler,Phylloscopus fuligiventer,eBird,Moderate,Least Concern,Schedule-IV
Common Chiffchaff,Phylloscopus collybita,eBird,Low,Least Concern,Schedule-IV
White-spectacled Warbler,Phylloscopus intermedius,eBird,Low,Least Concern,Schedule-IV
Gray-cheeked Warbler,Phylloscopus poliogenys,eBird,Low,Least Concern,Schedule-IV
Green-crowned Warbler,Phylloscopus burkii,eBird,Moderate,Least Concern,Schedule-IV
Gray-crowned Warbler,Phylloscopus tephrocephalus,eBird,NA,Least Concern,Schedule-IV
Whistler's Warbler,Phylloscopus whistleri,eBird,Low,Least Concern,Schedule-IV
Greenish Warbler,Phylloscopus trochiloides,eBird,Moderate,Least Concern,Schedule-IV
Large-billed Leaf Warbler,Phylloscopus magnirostris,eBird,Moderate,Least Concern,Schedule-IV
Chestnut-crowned Warbler,Phylloscopus castaniceps,eBird,Low,Least Concern,Schedule-IV
Yellow-vented Warbler,Phylloscopus cantator,eBird,Moderate,Least Concern,Schedule-IV
Blyth's Leaf Warbler,Phylloscopus reguloides,eBird,Low,Least Concern,Schedule-IV
Gray-hooded Warbler,Phylloscopus xanthoschistos,eBird,Low,Least Concern,Schedule-IV
Gray-bellied Tesia,Tesia cyaniventer,eBird,Low,Least Concern,Schedule-IV
Slaty-bellied Tesia,Tesia olivea,eBird,Low,Least Concern,Schedule-IV
Chestnut-crowned Bush Warbler,Cettia major,eBird,NA,Least Concern,Schedule-IV
Gray-sided Bush Warbler,Cettia brunnifrons,eBird,Low,Least Concern,Schedule-IV
Chestnut-headed Tesia,Cettia castaneocoronata,eBird,Low,Least Concern,Schedule-IV
