LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Thane Creek/Estuary,19.0101323,73.0093532,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.0101323,73.0093532,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.0106772,73.0031204,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.012556,73.009434,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.013891,73.007686,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.013898,73.008749,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.013924,73.007972,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.0160421,73.005227,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.01656,73.00602,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.0187716,73.005234,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.0187716,73.005234,Thane,MAHARASHTRA,Curlew Sandpiper,N,Winter
Thane Creek/Estuary,19.0292241,72.98884,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.07552,72.983741,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.1274987,72.9712054,Mumbai Suburban,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.1410937,72.9609883,Mumbai Suburban,MAHARASHTRA,Black-tailed Godwit,N,Winter
Thane Creek/Estuary,19.1410937,72.9609883,Mumbai Suburban,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.1410937,72.9609883,Mumbai Suburban,MAHARASHTRA,Little Stint,N,Winter
Thane Creek/Estuary,19.1499521,72.9803967,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.1499521,72.9803967,Thane,MAHARASHTRA,Little Stint,N,Passage/Summer
Thane Creek/Estuary,19.1499521,72.9803967,Thane,MAHARASHTRA,Greater Flamingo,N,Passage/Summer
Thane Creek/Estuary,19.1499521,72.9803967,Thane,MAHARASHTRA,Lesser Flamingo,N,Winter
Thane Creek/Estuary,19.1508797,72.9564785,Mumbai Suburban,MAHARASHTRA,Little Stint,N,Passage/Summer
Thane Creek/Estuary,19.1816997,72.9831326,Thane,MAHARASHTRA,Lesser Flamingo,N,Passage/Summer
