ASSET.ID,LONGITUDE,LATITUDE,group.id,DISTRICT,ST_NM,g2clip,g3clip,day,month,cyear,type,link,Type,data,,,,,,,,
98873041,78.0729353,17.6548137,G3163977,Medak,Telangana,2817,704,126,5,2018,W,,,ebird,,,,,,,,
98873061,78.0729353,17.6548137,G3163977,Medak,Telangana,2817,704,126,5,2018,W,,,ebird,,,,,,,,
99370221,77.2933692,28.5810374,S45478612,South,NCT of Delhi,1256,308,129,5,2018,NA,,,ebird,,,,,,,,
136918071,78.0729353,17.6548137,G3191856,Medak,Telangana,2817,704,133,5,2018,W,,,ebird,,,,,,,,
102491661,77.2256899,28.7593074,G3243195,North East,NCT of Delhi,1256,308,147,5,2018,B,,,ebird,,,,,,,,
104013941,75.3941488,31.3839037,G3274591,Kapurthala,Punjab,862,207,161,6,2018,B,,,ebird,,,,,,,,
104800661,78.0729353,17.6548137,G3287780,Medak,Telangana,2817,704,168,6,2018,W,,,ebird,,,,,,,,
104898561,78.0729353,17.6548137,G3287780,Medak,Telangana,2817,704,168,6,2018,W,,,ebird,,,,,,,,
104898741,78.0729353,17.6548137,G3287780,Medak,Telangana,2817,704,168,6,2018,W,,,ebird,,,,,,,,
110258391,78.0698105,17.6325329,S46602363,Medak,Telangana,2817,704,168,6,2018,W,,,ebird,,,,,,,,
110258561,78.0698105,17.6325329,S46602363,Medak,Telangana,2817,704,168,6,2018,W,,,ebird,,,,,,,,
110258891,78.0698105,17.6325329,S46602363,Medak,Telangana,2817,704,168,6,2018,NA,,,ebird,,,,,,,,
110260971,78.0698105,17.6325329,S46602363,Medak,Telangana,2817,704,168,6,2018,W,,,ebird,,,,,,,,
110971961,78.0729353,17.6548137,G3296437,Medak,Telangana,2817,704,170,6,2018,W,,,ebird,,,,,,,,
110971971,78.0729353,17.6548137,G3296437,Medak,Telangana,2817,704,170,6,2018,NA,,,ebird,,,,,,,,
105081811,75.7186639,29.1788618,S46692284,Hisar,Haryana,1187,306,171,6,2018,B,,,ebird,,,,,,,,
110549491,76.9385648,28.3337351,S47795456,Gurgaon,Haryana,1320,340,182,7,2018,B,,,ebird,,,,,,,,
201992751,76.8777,28.4937,S65199637,Gurgaon,Haryana,1255,307,187,7,2018,B,,,ebird,,,,,,,,
106975681,79.9839449,13.0375891,G3330176,Thiruvallur,Tamil Nadu,3537,905,189,7,2018,W,,,ebird,,,,,,,,
107157001,75.3941488,31.3839037,S47129256,Kapurthala,Punjab,862,207,192,7,2018,B,,,ebird,,,,,,,,
174451491,88.642582,24.32766,,,Bangladesh,,,196,7,2018,W,,,ebird,,,,,,,,
108153341,76.5853333,28.1845729,G4485006,Rewari,Haryana,1319,340,202,7,2018,B,,,ebird,,,,,,,,
109547411,75.3941488,31.3839037,S47621160,Kapurthala,Punjab,862,207,215,8,2018,B,,,ebird,,,,,,,,
109547421,75.3941488,31.3839037,S47621160,Kapurthala,Punjab,862,207,215,8,2018,B,,,ebird,,,,,,,,
109547441,75.3941488,31.3839037,S47621160,Kapurthala,Punjab,862,207,215,8,2018,B,,,ebird,,,,,,,,
109756731,72.8468657,19.3858097,S47660861,Thane,Maharashtra,2546,633,217,8,2018,B,,,ebird,,,,,,,,
110143651,77.769921,13.07033,G3382623,Bangalore Rural,Karnataka,3467,869,217,8,2018,NA,,,ebird,,,,,,,,
110449371,77.769921,13.07033,S47775508,Bangalore Rural,Karnataka,3467,869,223,8,2018,W,,,ebird,,,,,,,,
110449381,77.769921,13.07033,S47775508,Bangalore Rural,Karnataka,3467,869,223,8,2018,W,,,ebird,,,,,,,,
110449391,77.769921,13.07033,S47775508,Bangalore Rural,Karnataka,3467,869,223,8,2018,W,,,ebird,,,,,,,,
110449401,77.769921,13.07033,S47775508,Bangalore Rural,Karnataka,3467,869,223,8,2018,W,,,ebird,,,,,,,,
110449411,77.769921,13.07033,S47775508,Bangalore Rural,Karnataka,3467,869,223,8,2018,W,,,ebird,,,,,,,,
110449421,77.769921,13.07033,S47775508,Bangalore Rural,Karnataka,3467,869,223,8,2018,W,,,ebird,,,,,,,,
110455471,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,B,,,ebird,,,,,,,,
110455481,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,NA,,,ebird,,,,,,,,
110455491,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,B,,,ebird,,,,,,,,
110455501,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,B,,,ebird,,,,,,,,
110455511,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,B,,,ebird,,,,,,,,
110455521,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,B,,,ebird,,,,,,,,
110455531,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,NA,,,ebird,,,,,,,,
110455541,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,NA,,,ebird,,,,,,,,
110455551,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,NA,,,ebird,,,,,,,,
110455561,72.9492456,18.9079792,G3393285,Raigarh,Maharashtra,2611,666,223,8,2018,B,,,ebird,,,,,,,,
