Sl no.,Family,Common name,Scientific name,Source,SoIB concern status,IUCN Red List,WLPA schedule,ldv,dv
199,Falconidae (Falcons and Caracaras),Peregrine Falcon,Falco peregrinus,eBird,Low,Least Concern,Schedule-I,*,
200,Psittaculidae (Old World Parrots),Rose-ringed Parakeet,Psittacula krameri,eBird,Low,Least Concern,Schedule-IV,*,
201,Psittaculidae (Old World Parrots),Gray-headed Parakeet,Psittacula finschii,eBird,NA,Near Threatened,Schedule-IV,*,
202,Psittaculidae (Old World Parrots),Blossom-headed Parakeet,Psittacula roseata,eBird,NA,Near Threatened,Schedule-IV,*,
203,Psittaculidae (Old World Parrots),Red-breasted Parakeet,Psittacula alexandri,eBird,Moderate,Near Threatened,Schedule-IV,*,
204,Psittaculidae (Old World Parrots),Vernal Hanging-Parrot,Loriculus vernalis,eBird,Low,Least Concern,Schedule-IV,*,
205,Eurylaimidae (Asian and Grauer's Broadbills),Long-tailed Broadbill,Psarisomus dalhousiae,eBird,Low,Least Concern,Schedule-IV,*,
206,Eurylaimidae (Asian and Grauer's Broadbills),Silver-breasted Broadbill,Serilophus lunatus,eBird,NA,Least Concern,Schedule-IV,*,
207,Pittidae (Pittas),Blue-naped Pitta,Hydrornis nipalensis,eBird,Moderate,Least Concern,Schedule-IV,*,
208,Pittidae (Pittas),Hooded Pitta,Pitta sordida,eBird,NA,Least Concern,Schedule-IV,*,
209,Campephagidae (Cuckooshrikes),Small Minivet,Pericrocotus cinnamomeus,eBird,High,Least Concern,Schedule-IV,*,
210,Campephagidae (Cuckooshrikes),Gray-chinned Minivet,Pericrocotus solaris,eBird,NA,Least Concern,Schedule-IV,,
